,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,0,1,1,1,0,0,1,1,0,1,1,0,0,1,1
2,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1
3,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1
4,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1
5,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1
6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
7,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1
8,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1
9,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1
10,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1
11,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1
12,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1
13,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1
14,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
